,anxiety,Cohesion,Expressiveness,Conflict,Acceptance and Caring,Independence,Active orientation,Organisation,Control,FES,m_control,m_responsiveness,f_control,f_responsiveness,m_total,f_total,total
anxiety,1.0,-0.08658843238770392,0.01682428102285795,-0.08948428262491119,-0.3311774927802181,-0.023898782568627826,-0.1456079332357237,-0.025398040858096008,0.09545199609747128,-0.25847212223593474,-0.1610839258622537,-0.22433932400231607,-0.21708164970445035,-0.24819421407057599,-0.25865226549442694,-0.33832680582547087,-0.4417609083916909
Cohesion,-0.08658843238770392,1.0,-0.03388877555710799,0.04826184322069916,0.05593854909962715,0.06282878580477184,-0.016245628880131525,0.02913463703686069,0.03500969575469912,0.38370975214319747,0.0132241317277667,0.2710343017328165,0.04053545304271207,-0.015247676899373347,0.18571248486907854,0.019634078998170348,0.13838229975541014
Expressiveness,0.01682428102285795,-0.03388877555710799,1.0,0.0061273635208284475,0.06028503450662954,0.09651986952140258,0.05962392806249866,0.03480736298940505,0.11745356558029833,0.4492363787891066,0.13087350140786153,-0.025995263150526707,-0.06744587430587666,0.007895475913922655,0.07454518841895738,-0.04502192862439058,0.013183006462335844
Conflict,-0.08948428262491119,0.04826184322069916,0.0061273635208284475,1.0,-0.009626011331230231,0.06734875716321002,0.028790661145454928,-0.037177476858491584,-0.09469533805303933,0.4055190076461297,0.08198019690923876,0.01865713151824841,-0.17716292835268457,-0.01956889838634891,0.06944555221544746,-0.14675587597248238,-0.07165186641109283
Acceptance and Caring,-0.3311774927802181,0.05593854909962715,0.06028503450662954,-0.009626011331230231,1.0,-0.1128116318751811,0.027255540399316464,0.0038339806479824167,0.09264633655115988,0.5881371673145598,0.09644841700724786,0.010697249477720008,0.18608784149078064,0.12015957929215325,0.07437507888258418,0.22456200398378673,0.22894846129326077
Independence,-0.023898782568627826,0.06282878580477184,0.09651986952140258,0.06734875716321002,-0.1128116318751811,1.0,-0.11143777527512953,0.17477235234971714,-0.027858064712421873,0.36387334416965667,-0.08374706854863873,0.1061283237197173,-0.05431849259410777,0.02100682417042034,0.01056706605408146,-0.025903968651498487,-0.013764063726186333
Active orientation,-0.1456079332357237,-0.016245628880131525,0.05962392806249866,0.028790661145454928,0.027255540399316464,-0.11143777527512953,1.0,-0.08683931074653929,0.14319074262913023,0.20091500048007152,-0.05561780022723672,-0.08558585590280086,-0.023850971444585933,-0.07344963573943565,-0.09459737854782638,-0.06981823587787217,-0.11838898266452619
Organisation,-0.025398040858096008,0.02913463703686069,0.03480736298940505,-0.037177476858491584,0.0038339806479824167,0.17477235234971714,-0.08683931074653929,1.0,-0.1972931233808952,0.11243610397691568,-0.025019256169086422,0.18924740624333616,-0.058304989067500784,-0.07258904309922243,0.1057319965120107,-0.0950600925996435,-0.006288311051290238
Control,0.09545199609747128,0.03500969575469912,0.11745356558029833,-0.09469533805303933,0.09264633655115988,-0.027858064712421873,0.14319074262913023,-0.1972931233808952,1.0,0.2622980471739847,0.04789808554616931,-0.12385037343253749,0.011578038292477248,0.07044576068623035,-0.04716157102684793,0.05848656462812497,0.015685601693904375
FES,-0.25847212223593474,0.38370975214319747,0.4492363787891066,0.4055190076461297,0.5881371673145598,0.36387334416965667,0.20091500048007152,0.11243610397691568,0.2622980471739847,1.0,0.10382846119807998,0.10214593191468746,4.704715009216615e-05,0.06263006822093573,0.13907519983884975,0.04430997184731236,0.12733922439667394
m_control,-0.1610839258622537,0.0132241317277667,0.13087350140786153,0.08198019690923876,0.09644841700724786,-0.08374706854863873,-0.05561780022723672,-0.025019256169086422,0.04789808554616931,0.10382846119807998,1.0,0.09622391042823966,-0.008651749944973513,-0.03522330820297807,0.7615752796873787,-0.031391440227081215,0.47786883651798745
m_responsiveness,-0.22433932400231607,0.2710343017328165,-0.025995263150526707,0.01865713151824841,0.010697249477720008,0.1061283237197173,-0.08558585590280086,0.18924740624333616,-0.12385037343253749,0.10214593191468746,0.09622391042823966,1.0,0.04368425311172717,-0.15784552081418307,0.7183509474236517,-0.07880921391655193,0.41134868401095204
f_control,-0.21708164970445035,0.04053545304271207,-0.06744587430587666,-0.17716292835268457,0.18608784149078064,-0.05431849259410777,-0.023850971444585933,-0.058304989067500784,0.011578038292477248,4.704715009216615e-05,-0.008651749944973513,0.04368425311172717,1.0,-0.0590733621810062,0.02239580169766767,0.7085216670531302,0.5821630156958617
