,anxiety,Cohesion,Expressiveness,Conflict,Acceptance and Caring,Independence,Active orientation,Organisation,Control,FES,m_control,m_responsiveness,f_control,f_responsiveness,m_total,f_total,total
anxiety,1.0,-0.08658843238770392,0.01682428102285795,-0.08948428262491119,-0.3311774927802181,-0.023898782568627826,-0.1456079332357237,-0.025398040858096008,0.09545199609747128,-0.25847212223593474,-0.12192138419217362,0.004392280117298749,-0.0645211109465062,-0.05844693236814967,-0.0823539912217635,-0.08972654527290967,-0.12624465426528528
Cohesion,-0.08658843238770392,1.0,-0.03388877555710799,0.04826184322069916,0.05593854909962715,0.06282878580477184,-0.016245628880131525,0.02913463703686069,0.03500969575469912,0.38370975214319747,0.1539169617637835,-0.06643653971877667,0.02393679410221887,0.15185318131816217,0.06431959479017847,0.12530794366985332,0.14282618919092796
Expressiveness,0.01682428102285795,-0.03388877555710799,1.0,0.0061273635208284475,0.06028503450662954,0.09651986952140258,0.05962392806249866,0.03480736298940505,0.11745356558029833,0.4492363787891066,0.22657682689859104,0.30951157721571365,0.1429965342203575,-0.04057270195494224,0.3598822943056791,0.07860592819057129,0.3006418300266475
Conflict,-0.08948428262491119,0.04826184322069916,0.0061273635208284475,1.0,-0.009626011331230231,0.06734875716321002,0.028790661145454928,-0.037177476858491584,-0.09469533805303933,0.4055190076461297,0.0401517260868429,-0.02047639537998665,0.1395942473226994,0.06832206671777817,0.014730874712367717,0.15303353525629101,0.13227588719613156
Acceptance and Caring,-0.3311774927802181,0.05593854909962715,0.06028503450662954,-0.009626011331230231,1.0,-0.1128116318751811,0.027255540399316464,0.0038339806479824167,0.09264633655115988,0.5881371673145598,0.06831359898692782,0.06956313203346177,0.07194211202890055,0.06708362389196654,0.09303841914489457,0.10139987001491385,0.14264930492190303
Independence,-0.023898782568627826,0.06282878580477184,0.09651986952140258,0.06734875716321002,-0.1128116318751811,1.0,-0.11143777527512953,0.17477235234971714,-0.027858064712421873,0.36387334416965667,-0.027206252189740036,-0.06263381574522717,0.02414326637596679,-0.029750116537532113,-0.059795841243613757,-0.0029168007596861454,-0.04182977750591183
Active orientation,-0.1456079332357237,-0.016245628880131525,0.05962392806249866,0.028790661145454928,0.027255540399316464,-0.11143777527512953,1.0,-0.08683931074653929,0.14319074262913023,0.20091500048007152,-0.08647124351685172,0.19422207927411125,-0.105119709736856,-0.01907395089475816,0.06602071933390101,-0.09235325425991125,-0.03034929616662548
Organisation,-0.025398040858096008,0.02913463703686069,0.03480736298940505,-0.037177476858491584,0.0038339806479824167,0.17477235234971714,-0.08683931074653929,1.0,-0.1972931233808952,0.11243610397691568,0.10861773461358422,0.007272820041267978,-0.20013568543341845,0.07911121790086184,0.08065087009773729,-0.0942326196487413,-0.022191310548757337
Control,0.09545199609747128,0.03500969575469912,0.11745356558029833,-0.09469533805303933,0.09264633655115988,-0.027858064712421873,0.14319074262913023,-0.1972931233808952,1.0,0.2622980471739847,-0.07256800251643715,0.16053545781860207,-0.12479828801579451,0.13297519098999272,0.053804746687184817,0.0003693888292302881,0.03583284912892497
FES,-0.25847212223593474,0.38370975214319747,0.4492363787891066,0.4055190076461297,0.5881371673145598,0.36387334416965667,0.20091500048007152,0.11243610397691568,0.2622980471739847,1.0,0.15364870033795547,0.16356495144638267,0.09343509681339374,0.11752148459591394,0.21388555070678464,0.15318138407472037,0.263932296497236
m_control,-0.12192138419217362,0.1539169617637835,0.22657682689859104,0.0401517260868429,0.06831359898692782,-0.027206252189740036,-0.08647124351685172,0.10861773461358422,-0.07256800251643715,0.15364870033795547,1.0,0.09622391042823947,-0.008651749944973464,-0.035223308202978046,0.7615752796873785,-0.03139144022708128,0.4778688365179876
m_responsiveness,0.004392280117298749,-0.06643653971877667,0.30951157721571365,-0.02047639537998665,0.06956313203346177,-0.06263381574522717,0.19422207927411125,0.007272820041267978,0.16053545781860207,0.16356495144638267,0.09622391042823947,1.0,0.04368425311172734,-0.15784552081418296,0.7183509474236516,-0.0788092139165518,0.4113486840109516
f_control,-0.0645211109465062,0.02393679410221887,0.1429965342203575,0.1395942473226994,0.07194211202890055,0.02414326637596679,-0.105119709736856,-0.20013568543341845,-0.12479828801579451,0.09343509681339374,-0.008651749944973464,0.04368425311172734,1.0,-0.05907336218100616,0.022395801697667743,0.7085216670531296,0.5821630156958614
f_responsiveness,-0.05844693236814967,0.15185318131816217,-0.04057270195494224,0.06832206671777817,0.06708362389196654,-0.029750116537532113,-0.01907395089475816,0.07911121790086184,0.13297519098999272,0.11752148459591394,-0.035223308202978046,-0.15784552081418296,-0.05907336218100616,1.0,-0.1273912806387125,0.6626019171914903,0.446459708813456
m_total,-0.0823539912217635,0.06431959479017847,0.3598822943056791,0.014730874712367717,0.09303841914489457,-0.059795841243613757,0.06602071933390101,0.08065087009773729,0.053804746687184817,0.21388555070678464,0.7615752796873785,0.7183509474236516,0.022395801697667743,-0.1273912806387125,1.0,-0.07325273520203905,0.6018222480587971
f_total,-0.08972654527290967,0.12530794366985332,0.07860592819057129,0.15303353525629101,0.10139987001491385,-0.0029168007596861454,-0.09235325425991125,-0.0942326196487413,0.0003693888292302881,0.15318138407472037,-0.03139144022708128,-0.0788092139165518,0.7085216670531296,0.6626019171914903,-0.07325273520203905,1.0,0.752399347921976
total,-0.12624465426528528,0.14282618919092796,0.3006418300266475,0.13227588719613156,0.14264930492190303,-0.04182977750591183,-0.03034929616662548,-0.022191310548757337,0.03583284912892497,0.263932296497236,0.4778688365179876,0.4113486840109516,0.5821630156958614,0.446459708813456,0.6018222480587971,0.752399347921976,1.0
