,anxiety,Cohesion,Expressiveness,Conflict,Acceptance and Caring,Independence,Active orientation,Organisation,Control,FES,m_control,m_responsiveness,f_control,f_responsiveness,m_total,f_total,total
anxiety,1.0,-0.08658843238770392,0.01682428102285795,-0.08948428262491119,-0.3311774927802181,-0.023898782568627826,-0.1456079332357237,-0.025398040858096008,0.09545199609747128,-0.25847212223593474,-0.12227740729826526,-0.06983152124339248,0.10906339549888025,-0.047580530661912264,-0.1309297734162581,0.04819250480837884,-0.047885053257220436
Cohesion,-0.08658843238770392,1.0,-0.03388877555710799,0.04826184322069916,0.05593854909962715,0.06282878580477184,-0.016245628880131525,0.02913463703686069,0.03500969575469912,0.38370975214319747,0.14542025375004408,0.15789715362109763,-0.1253469606784914,0.1478728344528131,0.20444420066839858,0.010489225324659533,0.14343122578074075
Expressiveness,0.01682428102285795,-0.03388877555710799,1.0,0.0061273635208284475,0.06028503450662954,0.09651986952140258,0.05962392806249866,0.03480736298940505,0.11745356558029833,0.4492363787891066,0.17872516415322634,0.04246505505947418,0.16813950802974198,-0.10741528616927103,0.15256422741519043,0.05021764920781533,0.14097923834228865
Conflict,-0.08948428262491119,0.04826184322069916,0.0061273635208284475,1.0,-0.009626011331230231,0.06734875716321002,0.028790661145454928,-0.037177476858491584,-0.09469533805303933,0.4055190076461297,0.11771469224113021,0.052023204897356456,-0.033537528308847514,-0.13324787834371085,0.11614582739426275,-0.11935867419744943,-0.018868019648501676
Acceptance and Caring,-0.3311774927802181,0.05593854909962715,0.06028503450662954,-0.009626011331230231,1.0,-0.1128116318751811,0.027255540399316464,0.0038339806479824167,0.09264633655115988,0.5881371673145598,0.12468371652049762,0.017681337238570658,0.05437826119861452,-0.03519667148168538,0.09865673418152617,0.01591767403393114,0.07790754329582258
Independence,-0.023898782568627826,0.06282878580477184,0.09651986952140258,0.06734875716321002,-0.1128116318751811,1.0,-0.11143777527512953,0.17477235234971714,-0.027858064712421873,0.36387334416965667,0.10093419170319042,0.05547812860571726,-0.10140171877906026,-0.014915991285466041,0.10666702400673743,-0.08662435272020318,0.0010844413844873523
Active orientation,-0.1456079332357237,-0.016245628880131525,0.05962392806249866,0.028790661145454928,0.027255540399316464,-0.11143777527512953,1.0,-0.08683931074653929,0.14319074262913023,0.20091500048007152,0.13952828566753214,0.10228756986297322,-0.01996965771277298,0.08162880343879955,0.1641188880097212,0.04272245234415998,0.14260886544966594
Organisation,-0.025398040858096008,0.02913463703686069,0.03480736298940505,-0.037177476858491584,0.0038339806479824167,0.17477235234971714,-0.08683931074653929,1.0,-0.1972931233808952,0.11243610397691568,0.0939765175783185,0.0043452018043168865,0.1430813651814616,0.24181442993027305,0.06851160491322916,0.27829570284742433,0.26810469277792603
Control,0.09545199609747128,0.03500969575469912,0.11745356558029833,-0.09469533805303933,0.09264633655115988,-0.027858064712421873,0.14319074262913023,-0.1972931233808952,1.0,0.2622980471739847,0.13653891275535668,0.04635313266697551,0.03706996290525488,0.04809308597225765,0.12561075775734182,0.06181106409119728,0.1324607568923176
FES,-0.25847212223593474,0.38370975214319747,0.4492363787891066,0.4055190076461297,0.5881371673145598,0.36387334416965667,0.20091500048007152,0.11243610397691568,0.2622980471739847,1.0,0.32286498803246244,0.14384589401393771,0.019028888076419847,-0.021171596232208913,0.3193158602203613,-0.0006896683994338321,0.21035000172561397
m_control,-0.12227740729826526,0.14542025375004408,0.17872516415322634,0.11771469224113021,0.12468371652049762,0.10093419170319042,0.13952828566753214,0.0939765175783185,0.13653891275535668,0.32286498803246244,1.0,0.09622391042823972,-0.008651749944973653,-0.03522330820297801,0.7615752796873788,-0.03139144022708109,0.4778688365179874
m_responsiveness,-0.06983152124339248,0.15789715362109763,0.04246505505947418,0.052023204897356456,0.017681337238570658,0.05547812860571726,0.10228756986297322,0.0043452018043168865,0.04635313266697551,0.14384589401393771,0.09622391042823972,1.0,0.04368425311172728,-0.15784552081418296,0.7183509474236515,-0.07880921391655175,0.41134868401095204
f_control,0.10906339549888025,-0.1253469606784914,0.16813950802974198,-0.033537528308847514,0.05437826119861452,-0.10140171877906026,-0.01996965771277298,0.1430813651814616,0.03706996290525488,0.019028888076419847,-0.008651749944973653,0.04368425311172728,1.0,-0.05907336218100626,0.02239580169766781,0.7085216670531305,0.5821630156958617
f_responsiveness,-0.047580530661912264,0.1478728344528131,-0.10741528616927103,-0.13324787834371085,-0.03519667148168538,-0.014915991285466041,0.08162880343879955,0.24181442993027305,0.04809308597225765,-0.021171596232208913,-0.03522330820297801,-0.15784552081418296,-0.05907336218100626,1.0,-0.1273912806387127,0.6626019171914901,0.44645970881345587
m_total,-0.1309297734162581,0.20444420066839858,0.15256422741519043,0.11614582739426275,0.09865673418152617,0.10666702400673743,0.1641188880097212,0.06851160491322916,0.12561075775734182,0.3193158602203613,0.7615752796873788,0.7183509474236515,0.02239580169766781,-0.1273912806387127,1.0,-0.07325273520203888,0.6018222480587974
f_total,0.04819250480837884,0.010489225324659533,0.05021764920781533,-0.11935867419744943,0.01591767403393114,-0.08662435272020318,0.04272245234415998,0.27829570284742433,0.06181106409119728,-0.0006896683994338321,-0.03139144022708109,-0.07880921391655175,0.7085216670531305,0.6626019171914901,-0.07325273520203888,1.0,0.7523993479219762
total,-0.047885053257220436,0.14343122578074075,0.14097923834228865,-0.018868019648501676,0.07790754329582258,0.0010844413844873523,0.14260886544966594,0.26810469277792603,0.1324607568923176,0.21035000172561397,0.4778688365179874,0.41134868401095204,0.5821630156958617,0.44645970881345587,0.6018222480587974,0.7523993479219762,1.0
